names,codes
"Metastatic Malignant Neoplasm in the Chest Wall, Metastasis to the Chest Wall, Metastatic Malignant Neoplasm to the Chest Wall, Metastatic Neoplasm to the Chest Wall, Metastatic Tumor to the Chest Wall, Secondary Malignant Neoplasm to the Chest Wall, Secondary Malignant Tumor to the Chest Wall",C8530
"Metastatic Malignant Neoplasm in the Colon, Metastatic Malignant Neoplasm to the Colon, Metastatic Neoplasm to the Colon, Metastatic Tumor to the Colon",C8411
"Metastatic Malignant Neoplasm in the Eye, Eye Metastasis, Metastases to Eye, Metastases to the Eye, Metastasis to Eye, Metastasis to the Eye, Metastatic Malignant Neoplasm to the Eye, Metastatic Neoplasm to the Eye, Metastatic Tumor to the Eye",C4586
"Metastatic Malignant Neoplasm in the Head and Neck, Metastatic Malignant Neoplasm to the Head and Neck",C162594
"Metastatic Malignant Neoplasm in the Lymph Nodes, Metastases to Lymph Nodes, Metastasis to Lymph Node, Metastatic Malignant Neoplasm in Lymph Node, Metastatic Malignant Neoplasm to the Lymph Nodes, Metastatic Neoplasm to the Lymph Node, Metastatic Tumor to Lymph Node",C4904
Metastatic Malignant Neoplasm in the Mandible,C214895
"Metastatic Malignant Neoplasm in the Mediastinum, Metastases to Mediastinum, Metastases to the Mediastinum, Metastasis to the Mediastinum, Metastatic Malignant Neoplasm to the Mediastinum, Metastatic Neoplasm to the Mediastinum, Metastatic Tumor to the Mediastinum, Secondary malignant neoplasm of mediastinum",C3578
"Metastatic Malignant Neoplasm in the Nasopharynx, Metastasis to the Nasopharynx, Metastatic Malignant Neoplasm to the Nasopharynx, Metastatic Neoplasm to the Nasopharynx, Metastatic Tumor to the Nasopharynx",C6030
"Metastatic Malignant Neoplasm in the Neck, Metastases to Neck, Metastasis to the Neck, Metastatic Malignant Neoplasm to the Neck, Metastatic Neoplasm to the Neck, Metastatic Tumor to the Neck",C8528
"Metastatic Malignant Neoplasm in the Pancreas, Metastatic Cancer to the Pancreas, Metastatic Malignant Neoplasm to the Pancreas, Metastatic Neoplasm to the Pancreas, Metastatic Tumor to the Pancreas, Secondary Cancer to the Pancreas, Secondary Malignant Neoplasm to the Pancreas, Secondary Malignant Tumor to the Pancreas",C8543
Metastatic Malignant Neoplasm in the Pelvic Cavity,C161583
"Metastatic Malignant Neoplasm in the Pleura, Metastases to Pleura, Metastasis to the Pleura, Metastatic Malignant Neoplasm to the Pleura, Metastatic Neoplasm to the Pleura, Metastatic Tumor to the Pleura, Secondary malignant neoplasm of pleura",C3579
"Metastatic Malignant Neoplasm in the Prostate Gland, Metastases to Prostate, Metastases to the Prostate, Metastasis to Prostate, Metastasis to the Prostate, Metastatic Malignant Neoplasm to the Prostate Gland, Metastatic Neoplasm to the Prostate, Metastatic Tumor to the Prostate",C7080
"Metastatic Malignant Neoplasm in the Rectum, Metastasis to the Rectum, Metastatic Malignant Neoplasm to the Rectum, Metastatic Neoplasm to the Rectum, Metastatic Tumor to the Rectum",C7426
Metastatic Malignant Neoplasm in the Retroperitoneum,C213768
"Metastatic Malignant Neoplasm in the Stomach, Metastatic Malignant Neoplasm to the Stomach",C95903
Metastatic Malignant Neoplasm in the Supraclavicular Lymph Nodes,C175934
"Metastatic Malignant Neoplasm in the Thoracic Cavity, Metastatic Malignant Neoplasm in the Thorax",C155919
"Metastatic Malignant Neoplasm in the Thyroid Gland, Metastasis to the Thyroid, Metastasis to the Thyroid Gland, Metastatic Malignant Neoplasm to the Thyroid, Metastatic Malignant Neoplasm to the Thyroid Gland, Metastatic Malignant Tumor to the Thyroid, Metastatic Malignant Tumor to the Thyroid Gland, Metastatic Neoplasm to the Thyroid, Metastatic Neoplasm to the Thyroid Gland, Metastatic Tumor to the Thyroid, Metastatic Tumor to the Thyroid Gland, Secondary Malignant Neoplasm to the Thyroid, Secondary Malignant Neoplasm to the Thyroid Gland, Secondary Malignant Tumor to the Thyroid, Secondary Malignant Tumor to the Thyroid Gland",C7509
Metastatic Malignant Neoplasm in the Upper Abdominal Lymph Nodes,C214493
"Metastatic Malignant Neoplasm in the Viscera, Secondary Malignant Neoplasm of Viscera, Visceral Metastases",C150597
"Metastatic Malignant Neoplasm of Unknown Primary Origin, CUP, Cancer of Unknown Primary, Cancer of Unknown Primary Site, Malignant Neoplasm of Unknown Primary, Metastatic Malignant Neoplasm of Unknown Primary, Metastatic Neoplasm of Unknown Primary Origin, cancer of unknown primary origin, occult primary tumor",C8566
"Metastatic Malignant Neoplasm to Soft Tissues, Metastatic Malignant Neoplasm in Soft Tissue, Metastatic Malignant Neoplasm in the Soft Tissue, Metastatic Malignant Neoplasm to Soft Tissue, Metastatic Malignant Neoplasm to the Soft Tissue",C114831
"Metastatic Malignant Neoplasm to the Bone, Bone Metastases, Bone Metastasis, Metastases to bone, NOS, Metastatic Cancer to the Bone, Metastatic Malignant Neoplasm in the Bone, Metastatic Neoplasm to the Bone, Metastatic Tumor to the Bone, Secondary malignant neoplasm of bone",C3580
"Metastatic Malignant Neoplasm to the Central Nervous System, CNS Metastases, CNS Metastasis, Central Nervous System Metastases, Central Nervous System Metastasis, Metastatic Malignant Neoplasm in the Central Nervous System, Metastatic Neoplasm to the CNS, Metastatic Neoplasm to the Central Nervous System, Metastatic Tumor to the CNS, Metastatic Tumor to the Central Nervous System",C4015
"Metastatic Malignant Neoplasm to the Leptomeninges, Leptomeningeal Metastases, Leptomeningeal Metastasis, Leptomeningeal metastases, NOS, Meningeal Metastasis, Metastasis to the Leptomeninges, Metastatic Malignant Neoplasm in the Leptomeninges, Metastatic Malignant Neoplasm in the Meninges, Metastatic Neoplasm to the Leptomeninges, Metastatic Neoplasm to the Meninges, Metastatic Tumor to the Leptomeninges, carcinomatous meningitis, leptomeningeal carcinoma, neoplastic meningitis",C3814
"Metastatic Malignant Neoplasm to the Liver, Liver Metastases, Liver Metastasis, Metastases to liver, NOS, Metastatic Malignant Neoplasm in the Liver, Metastatic Neoplasm to the Liver, Metastatic Tumor to the Liver, Secondary malignant neoplasm of liver and intrahepatic bile duct",C4758
"Metastatic Malignant Neoplasm to the Lung, Lung Metastases, Metastases to Lung, Metastases to lung, NOS, Metastasis to Lung, Metastasis to the Lung, Metastatic Malignant Neoplasm in the Lung, Metastatic Neoplasm to the Lung, Metastatic Tumor to the Lung, Pulmonary Metastasis, Secondary malignant neoplasm of lung, Secondary malignant neoplasm of unspecified lung, lung metastasis",C3577
"Metastatic Malignant Neoplasm to the Peritoneum, Metastases to peritoneum, NOS, Metastasis to the Peritoneum, Metastatic Malignant Neoplasm in the Peritoneum, Metastatic Neoplasm to the Peritoneum",C4583
"Metastatic Malignant Neoplasm to the Skin, Metastases to Skin, Metastases to skin, NOS, Metastasis to Skin, Metastatic Malignant Neoplasm in the Skin, Metastatic Neoplasm to the Skin, Metastatic Tumor to the Skin, Secondary malignant neoplasm of skin, Skin Metastases, Skin Metastasis",C5629
"Metastatic Malignant Neoplasm to the Spinal Cord, Metastasis to Spinal Cord, Metastatic Malignant Neoplasm in the Spinal Cord, Metastatic Neoplasm to the Spinal Cord, Metastatic Tumor to the Spinal Cord, Secondary Malignant Neoplasm to the Spinal Cord, Secondary Malignant Tumor to the Spinal Cord",C4585
"Metastatic Malignant Neoplasm to the Spine, Metastases to Spine, Metastases to the Spine, Metastasis to Spine, Metastasis to the Spine, Metastatic Cancer to the Spine, Metastatic Cancer to the Vertebral Column, Metastatic Malignant Neoplasm in the Spine, Metastatic Neoplasm to the Spine, Metastatic Neoplasm to the Vertebral Column, Metastatic Tumor to the Spine, Metastatic Tumor to the Vertebral Column",C4881
Metastatic Malignant Nongerminomatous Germ Cell Tumor,C177770
Metastatic Malignant Pancreatic Neoplasm,C155852
"Metastatic Malignant Peripheral Nerve Sheath Tumor, Metastatic MPNST",C8822
Metastatic Malignant Skin Neoplasm,C170811
Metastatic Malignant Soft Tissue Neoplasm,C219038
"Metastatic Malignant Solid Tumor, Metastatic Malignant Solid Neoplasm, Metastatic Solid Neoplasm, Metastatic Solid Tumor",C127155
"Metastatic Malignant Testicular Germ Cell Tumor, Metastatic Testicular Cancer",C25771
Metastatic Malignant Thoracic Neoplasm,C176862
Metastatic Medulloblastoma,C177725
Metastatic Melanoma,C8925
"Metastatic Melanoma in the Central Nervous System, Melanoma Metastatic in the CNS, Melanoma Metastatic in the Central Nervous System",C133504
Metastatic Meningioma,C5274
"Metastatic Merkel Cell Carcinoma, Secondary Merkel cell carcinoma",C162572
"Metastatic Mesonephric Adenocarcinoma, Metastatic Malignant Mesonephroma, Metastatic Mesonephric Carcinoma",C185381
Metastatic Microsatellite Stable Colon Carcinoma,C178268
"Metastatic Microsatellite Stable Colorectal Carcinoma, Metastatic Microsatellite Stable Colorectal Cancer",C142867
Metastatic Microsatellite Stable Endometrial Carcinoma,C180336
Metastatic Microsatellite Stable Ovarian Carcinoma,C180333
Metastatic Microsatellite Stable Pancreatic Ductal Adenocarcinoma,C219509
Metastatic Midgut Neuroendocrine Tumor,C167329
"Metastatic Midgut Neuroendocrine Tumor G1, Metastatic Midgut NET G1",C200495
"Metastatic Midgut Neuroendocrine Tumor G2, Metastatic Midgut NET G2",C200496
"Metastatic Mismatch Repair Proficient Colorectal Carcinoma, Metastatic MMRp Colorectal Carcinoma",C218466
Metastatic Mixed Neuroendocrine Non-Neuroendocrine Neoplasm,C215398
Metastatic Mucosal Melanoma,C169086
Metastatic Myxofibrosarcoma,C168670
"Metastatic Myxoid Liposarcoma, Metastatic Myxoid/Round Cell Liposarcoma",C148298
"Metastatic NUT Carcinoma, Metastatic NMC",C160297
Metastatic Nasal Cavity Squamous Cell Carcinoma,C167236
Metastatic Nasopharyngeal Carcinoma,C156079
Metastatic Nasopharyngeal Keratinizing Squamous Cell Carcinoma,C156077
"Metastatic Nasopharyngeal Nonkeratinizing Carcinoma, Metastatic Nasopharyngeal Non-Keratinizing Carcinoma",C177153
"Metastatic Nasopharyngeal Throat Squamous Cell Cancer, Metastatic Nasopharyngeal Squamous Cell Carcinoma, Metastatic Squamous Cell Carcinoma of the Nasopharynx",C150209
Metastatic Nasopharyngeal Undifferentiated Carcinoma,C156078
"Metastatic Neoplasm, Metastatic, Metastatic Tumor, Neoplasm, metastatic, Tumor, metastatic",C3261
Metastatic Neuroendocrine Carcinoma,C155869
Metastatic Neuroendocrine Neoplasm,C156485
"Metastatic Neuroendocrine Tumor, Metastatic Carcinoid Tumor, Metastatic Well Differentiated Neuroendocrine Neoplasm, Secondary carcinoid tumors, Secondary carcinoid tumors, unspecified site, Secondary neuroendocrine tumors",C147065
Metastatic Non-Cutaneous Melanoma,C7092
Metastatic Non-Muscle Invasive Bladder Carcinoma,C190772
Metastatic Non-Small Cell Carcinoma,C165537
Metastatic Non-Sun Exposed Skin Melanoma,C213776
"Metastatic Nonfunctional Well Differentiated Neuroendocrine Tumor, Metastatic Non-Functioning Neuroendocrine Tumor, Metastatic Non-Functioning Well Differentiated Neuroendocrine Neoplasm, Metastatic Nonfunctional Neuroendocrine Tumor, Metastatic Nonfunctional Well Differentiated Neuroendocrine Neoplasm, Metastatic Nonfunctioning Well Differentiated Neuroendocrine Neoplasm",C140329
Metastatic Ocular Melanoma,C171295
Metastatic Olfactory Neuroblastoma,C203511
Metastatic Oral Cavity Carcinoma,C156087
"Metastatic Oral Cavity Squamous Cell Cancer, Metastatic Oral Cavity Squamous Cell Carcinoma, Metastatic Squamous Cell Carcinoma of the Oral Cavity",C150206
Metastatic Oropharyngeal Carcinoma,C156082
"Metastatic Oropharyngeal Throat Squamous Cell Cancer, Metastatic Oropharyngeal Squamous Cell Carcinoma, Metastatic Squamous Cell Carcinoma of the Oropharynx",C150202
"Metastatic Osteosarcoma, Metastatic Osteogenic Sarcoma, Osteosarcoma, Metastatic",C7781
Metastatic Ovarian Carcinoma,C156064
Metastatic Ovarian Carcinosarcoma,C170933
Metastatic Ovarian Clear Cell Adenocarcinoma,C170944
Metastatic Ovarian Endometrioid Adenocarcinoma,C170938
"Metastatic Ovarian High Grade Endometrioid Adenocarcinoma, Metastatic Ovarian-High Grade Endometrioid Adenocarcinoma",C213326
"Metastatic Ovarian High Grade Serous Adenocarcinoma, Metastatic Ovarian High-Grade Serous Adenocarcinoma",C186454
"Metastatic Ovarian Low Grade Endometrioid Adenocarcinoma, Metastatic Ovarian Low-Grade Endometrioid Adenocarcinoma",C215217
"Metastatic Ovarian Low Grade Serous Adenocarcinoma, Metastatic Ovarian Low-Grade Serous Adenocarcinoma",C215219
Metastatic Ovarian Mucinous Adenocarcinoma,C183244
Metastatic Ovarian Serous Adenocarcinoma,C160782
Metastatic Ovarian Serous Cystadenocarcinoma,C187234
Metastatic Ovarian Undifferentiated Carcinoma,C172234
Metastatic Pancreatic Acinar Cell Carcinoma,C201196
Metastatic Pancreatic Adenocarcinoma,C8933
Metastatic Pancreatic Adenosquamous Carcinoma,C190770
Metastatic Pancreatic Carcinoma,C156069
Metastatic Pancreatic Ductal Adenocarcinoma,C158960
"Metastatic Pancreatic Neuroendocrine Cancer, Metastatic Pancreatic Neuroendocrine Carcinoma",C153075
Metastatic Pancreatic Neuroendocrine Neoplasm,C165447
"Metastatic Pancreatic Neuroendocrine Tumor, Metastatic Pancreatic Islet Cell Tumor",C156488
Metastatic Pancreatic Neuroendocrine Tumor G1,C190712
Metastatic Pancreatic Neuroendocrine Tumor G2,C190714
Metastatic Pancreatic Squamous Cell Carcinoma,C190771
Metastatic Papillary Renal Cell Carcinoma,C162760
Metastatic Paraganglioma,C133712
Metastatic Paranasal Sinus Squamous Cell Carcinoma,C162876
"Metastatic Parathyroid Gland Cancer, Metastatic Parathyroid Cancer, Metastatic Parathyroid Carcinoma, Metastatic Parathyroid Gland Carcinoma",C9044
"Metastatic Penile Carcinoma, Metastatic Carcinoma of Penis, Metastatic Carcinoma of the Penis, Metastatic Penile Cancer, Metastatic Penis Cancer, Metastatic Penis Carcinoma",C27784
"Metastatic Peripheral Primitive Neuroectodermal Tumor of Bone, Metastatic Peripheral Neuroepithelioma of Bone",C36074
Metastatic Peritoneal Malignant Mesothelioma,C179462
Metastatic Pharyngeal Squamous Cell Carcinoma,C173685
"Metastatic Pheochromocytoma, Metastatic Adrenal Gland Pheochromocytoma",C8046
Metastatic Platinum-Refractory Ovarian Carcinoma,C204865
Metastatic Platinum-Resistant Fallopian Tube Carcinoma,C203313
Metastatic Platinum-Resistant Ovarian Carcinoma,C179460
"Metastatic Platinum-Resistant Ovarian High Grade Serous Adenocarcinoma, Metastatic Platinum-Resistant Ovarian High-Grade Serous Adenocarcinoma",C208363
Metastatic Platinum-Resistant Primary Peritoneal Carcinoma,C203314
Metastatic Pleomorphic Liposarcoma,C182025
Metastatic Pleural Malignant Mesothelioma,C168545
Metastatic Poorly Differentiated Thyroid Gland Carcinoma,C174046
Metastatic Primary Central Chondrosarcoma,C171072
Metastatic Primary Malignant Brain Neoplasm,C175550
Metastatic Primary Malignant Central Nervous System Neoplasm,C166181
Metastatic Primary Peritoneal Adenocarcinoma,C170972
Metastatic Primary Peritoneal Carcinoma,C167203
"Metastatic Primary Peritoneal High Grade Serous Adenocarcinoma, Metastatic Primary Peritoneal High-Grade Serous Adenocarcinoma",C186453
Metastatic Primary Peritoneal Serous Adenocarcinoma,C171019
"Metastatic Progesterone Receptor-Positive Breast Carcinoma, Metastatic Progesterone Receptor Positive Breast Adenocarcinoma, Metastatic Progesterone Receptor Positive Breast Carcinoma, Metastatic Progesterone Receptor-Positive Breast Adenocarcinoma",C200572
Metastatic Prostate Adenocarcinoma with Neuroendocrine Differentiation,C186455
"Metastatic Prostate Cancer, Metastatic Prostate Carcinoma, Prostate Cancer Metastatic, Prostate Carcinoma Metastatic",C8946
"Metastatic Prostate Cancer in the Soft Tissue, Metastatic Prostate Carcinoma in the Soft Tissue, Prostate Carcinoma Metastatic in the Soft Tissue",C132881
Metastatic Prostate Neuroendocrine Carcinoma,C158913
"Metastatic Prostatic Adenocarcinoma, Metastatic Prostate Adenocarcinoma",C8945
Metastatic Proximal Gastric Adenocarcinoma,C165630
Metastatic Rectal Adenocarcinoma,C160820
Metastatic Rectal Carcinoma,C156098
Metastatic Rectal Squamous Cell Carcinoma,C170779
"Metastatic Renal Cell Cancer, Metastatic Renal Cell Carcinoma",C150595
Metastatic Renal Pelvis Carcinoma,C163965
"Metastatic Renal Pelvis Urothelial Cancer, Metastatic Renal Pelvis Urothelial Carcinoma",C150514
Metastatic Resectable Colorectal Adenocarcinoma,C212108
Metastatic Rhabdoid Tumor,C170828
Metastatic Rhabdomyosarcoma,C166414
Metastatic Round Cell Liposarcoma,C148300
Metastatic Salivary Duct Carcinoma,C199662
"Metastatic Salivary Gland Adenocarcinoma, Not Otherwise Specified",C199664
Metastatic Salivary Gland Carcinoma,C158463
Metastatic Salivary Gland Secretory Carcinoma,C203380
Metastatic Salivary Gland Squamous Cell Carcinoma,C172649
Metastatic Sarcoma,C152076
"Metastatic Sarcomatoid Renal Cell Carcinoma, Metastatic Renal Cell Sarcomatoid Carcinoma",C157757
Metastatic Sebaceous Carcinoma,C200060
Metastatic Sinonasal Carcinoma,C200584
"Metastatic Sinonasal Squamous Cell Carcinoma, Metastatic Nasal Cavity and Paranasal Sinus Squamous Cell Carcinoma",C162882
Metastatic Skin Sarcoma,C217748
"Metastatic Skin Squamous Cell Carcinoma, Metastatic Cutaneous Squamous Cell Carcinoma",C143013
"Metastatic Small Cell Neuroendocrine Carcinoma, Metastatic Small Cell Carcinoma",C158911
"Metastatic Small Cell Neuroendocrine Prostate Cancer, Metastatic Prostate Small Cell Carcinoma, Metastatic Prostate Small Cell Neuroendocrine Carcinoma, Metastatic Small Cell Prostate Cancer",C157764
Metastatic Small Intestinal Adenocarcinoma,C8934
"Metastatic Small Intestinal Cancer, Metastatic Carcinoma from the Small Bowel, Metastatic Carcinoma from the Small Intestine, Metastatic Small Bowel Carcinoma, Metastatic Small Intestinal Carcinoma, Metastatic Small Intestine Cancer",C8637
Metastatic Small Intestinal Neuroendocrine Carcinoma,C156686
Metastatic Soft Tissue Leiomyosarcoma,C168725
"Metastatic Soft Tissue Sarcoma, Metastatic Childhood Sarcoma of Soft Tissue, Metastatic Childhood Sarcoma of the Soft Tissue, Metastatic Childhood Soft Tissue Sarcoma, Metastatic Pediatric Sarcoma of Soft Tissue, Metastatic Pediatric Sarcoma of the Soft Tissue, Metastatic Pediatric Soft Tissue Sarcoma","C153069, C8066"
"Metastatic Soft Tissue Sarcoma, Excluding Rhabdomyosarcoma",C219663
"Metastatic Squamous Cell Carcinoma, Squamous cell carcinoma, metastatic, NOS",C4104
"Metastatic Squamous Cell Carcinoma in Cervical Lymph Node, Metastatic Squamous Cell Carcinoma in the Cervical Lymph Nodes",C157452
Metastatic Squamous Cell Carcinoma in the Skin,C188113
"Metastatic Squamous Cell Carcinoma of the Penis, Metastatic Penile Squamous Cell Carcinoma",C182111
"Metastatic Synovial Sarcoma, Synovial Sarcoma Metastatic",C8825
"Metastatic Thymic Carcinoma, Metastatic Thymus Carcinoma",C148128
"Metastatic Thymic Neuroendocrine Neoplasm, Metastatic Thymus Neuroendocrine Neoplasm",C162461
Metastatic Thyroid Gland Anaplastic Carcinoma,C170831
"Metastatic Thyroid Gland Cancer, Metastatic Thyroid Gland Carcinoma",C133193
Metastatic Thyroid Gland Follicular Carcinoma,C156099
"Metastatic Thyroid Gland Hurthle Cell Carcinoma, Metastatic Thyroid Gland Oncocytic (Hurthle Cell) Carcinoma, Metastatic Thyroid Gland Oncocytic Carcinoma",C174574
Metastatic Thyroid Gland Medullary Carcinoma,C162706
"Metastatic Thyroid Gland Papillary Carcinoma, Metastatic Papillary Thyroid Carcinoma",C156100
"Metastatic Tonsillar Squamous Cell Carcinoma, Metastatic Tonsillar SCC",C200583
"Metastatic Transitional Cell Cancer, Metastatic Transitional Cell Carcinoma",C129828
Metastatic Triple-Negative Breast Carcinoma,C153348
Metastatic Triple-Negative Breast Inflammatory Carcinoma,C185954
"Metastatic Unclassified Renal Cell Carcinoma, Metastatic Renal Cell Carcinoma, Not Otherwise Specified",C171583
"Metastatic Undifferentiated Pleomorphic Sarcoma, Malignant Fibrous Histiocytoma Metastatic, Metastatic Malignant Fibrous Histiocytoma, Metastatic Unclassified Pleomorphic Sarcoma, Metastatic Unclassified Pleomorphic Sarcoma (Formerly Metastatic ""MFH""), Metastatic Unclassified Pleomorphic Sarcoma (Formerly Metastatic ""Malignant Fibrous Histiocytoma"")",C4926
Metastatic Undifferentiated Round Cell Sarcoma,C213482
"Metastatic Undifferentiated Sarcoma, Not Otherwise Specified",C213487
Metastatic Unresectable Basal Cell Carcinoma,C156788
"Metastatic Unresectable Gastric (Stomach) Adenocarcinoma, Metastatic Unresectable Gastric Adenocarcinoma",C153316
"Metastatic Unresectable Malignant Neoplasm, Metastatic Unresectable Malignant Tumor",C153279
Metastatic Unresectable Sarcoma,C152074
"Metastatic Ureter Carcinoma, Metastatic Carcinoma of Ureter, Metastatic Carcinoma of the Ureter",C27818
"Metastatic Ureter Urothelial Cancer, Metastatic Ureter Urothelial Carcinoma",C150515
"Metastatic Urethral Carcinoma, Metastatic Carcinoma of Urethra, Metastatic Carcinoma of the Urethra",C27819
"Metastatic Urethral Urothelial Cancer, Metastatic Urethral Urothelial Carcinoma",C150512
"Metastatic Urothelial Cancer, Metastatic Transitional Cell Carcinoma of the Urinary Tract, Metastatic Urothelial Carcinoma",C126109
"Metastatic Urothelial Cancer of the Renal Pelvis and Ureter, Metastatic Renal Pelvis and Ureter Urothelial Carcinoma, Metastatic Transitional Cell Cancer of Renal Pelvis and Ureter, Metastatic Transitional Cell Cancer of the Renal Pelvis and Ureter, Metastatic Transitional Cell Carcinoma of Renal Pelvis and Ureter, Metastatic Upper Urinary Tract Urothelial Carcinoma, Metastatic Urothelial Carcinoma of the Renal Pelvis and Ureter",C8064
Metastatic Uterine Corpus Carcinosarcoma,C170931
Metastatic Uterine Corpus Leiomyosarcoma,C188207
Metastatic Uterine Corpus Sarcoma,C190009
Metastatic Uveal Melanoma,C148514
"Metastatic Uveal Melanoma in the Liver, Uveal Melanoma Metastatic in the Liver",C150130
Metastatic Vaginal Adenocarcinoma,C8944
Metastatic Vaginal Carcinoma,C156065
Metastatic Vaginal Squamous Cell Carcinoma,C181031
Metastatic Vulvar Carcinoma,C156066
Metastatic Vulvar Squamous Cell Carcinoma,C174201
"Methicillin-Resistant Staphylococcus Aureus Infection, MRSA, Methicillin-Resistant Staphylococcus aureus (MRSA)",C115248
Methicillin-Sensitive Staphylococcus aureus Infection,C182126
Microcystic Adenoma,C3685
"Microcystic Adnexal Carcinoma, Eccrine Epithelioma, MAC, Syringomatous Carcinoma",C7581
"Microcystic Lymphatic Malformation, Lymphangioma Circumscriptum",C45485
Microinvasive Anal Carcinoma,C167354
"Microinvasive Breast Carcinoma, DCISM, Ductal Carcinoma In Situ with Microinvasion, MIC",C40374
"Microinvasive Cervical Squamous Cell Carcinoma, Early Invasive Cervical Squamous Cell Carcinoma",C36094
Microinvasive Malignant Neoplasm,C36028
"Micropapillary Serous Carcinoma, MPSC, Micropapillary Variant of Serous Borderline Tumor, SBT-MP",C6882
"Microsatellite Instability, MSI, MSI Positive, MSI Present, Microsatellite Instability Positive, Microsatellite Instability Present",C36318
Microsatellite Stable Colon Carcinoma,C177777
Microsatellite Stable Colorectal Carcinoma,C173324
Microsatellite Stable Endometrial Carcinoma,C180335
Microsatellite Stable Rectal Carcinoma,C177776
"Microscopic Polyarteritis, MPA, Microscopic Polyangiitis",C70549
"Middle Ear Squamous Cell Carcinoma, Epidermoid Carcinoma of Middle Ear, Epidermoid Carcinoma of the Middle Ear, Middle Ear Epidermoid Carcinoma, Squamous Cell Carcinoma of Middle Ear, Squamous Cell Carcinoma of the Middle Ear",C6086
Midgut Neuroendocrine Tumor,C167327
"Midgut Neuroendocrine Tumor G1, Midgut Carcinoid Tumor",C6422
"Midgut Neuroendocrine Tumor G2, Malignant carcinoid tumor of the midgut, unspecified",C167328
Midgut Neuroendocrine Tumor G3,C172669
"Mild Dysplasia, Mild",C8362
"Minimal Residual Disease, Detectable Residual Disease, MRD, Measurable Residual Disease",C3896
"Minimally Invasive Lung Mucinous Adenocarcinoma, Mucinous Bronchioloalveolar Carcinoma, Mucinous Bronchioloalveolar Lung Carcinoma, Mucinous Bronchoalveolar Lung Carcinoma, Mucinous Minimally Invasive Lung Adenocarcinoma",C7268
"Minor Salivary Gland Adenoid Cystic Carcinoma, Adenoid Cystic Carcinoma of Minor Salivary Gland, Adenoid Cystic Carcinoma of the Minor Salivary Gland",C5936
"Minor Salivary Gland Cancer, Carcinoma of Minor Salivary Gland, Carcinoma of the Minor Salivary Gland, Minor Salivary Gland Carcinoma",C5957
"Minor Salivary Gland Squamous Cell Carcinoma, Epidermoid Carcinoma of Minor Salivary Gland, Epidermoid Carcinoma of the Minor Salivary Gland, Minor Salivary Gland Epidermoid Carcinoma, Squamous Cell Carcinoma of Minor Salivary Gland, Squamous Cell Carcinoma of the Minor Salivary Gland",C5959
"Mismatch Repair Deficiency, Deficient DNA Mismatch Repair, MMR Deficiency, MMR Deficient, Mismatch Repair Deficient, dMMR",C136712
"Mismatch Repair Deficiency Negative, MSI-H/dMMR Negative, Mismatch Repair Proficiency, Mismatch Repair Proficient, Mismatch Repair-Proficient, No dMMR or MSI-H, Non-MSI-H/dMMR",C157646
"Mixed Cellularity Classical Hodgkin Lymphoma, Adult MCHD, Adult Mixed Cellularity Classic Hodgkin Lymphoma, Adult Mixed Cellularity Classical Hodgkin Lymphoma, Adult Mixed Cellularity Hodgkin Lymphoma, Adult Mixed Cellularity Hodgkin's Disease, Adult Mixed Cellularity Hodgkin's Lymphoma, Hodgkin Lymphoma, Mixed Cellularity, NOS, Hodgkin's Disease Mixed Cellularity, Hodgkin's Lymphoma Mixed Cellularity, MCCHL, MCHL, Mixed Cellularity Classic Hodgkin Lymphoma, Mixed Cellularity Hodgkin Lymphoma, Mixed Cellularity Hodgkin's Disease, Mixed Cellularity Hodgkin's Lymphoma, Mixed cellularity classical Hodgkin lymphoma, unspecified site","C3517, C9127"
"Mixed Germ Cell Tumor, Combined Germ Cell Neoplasm, Combined Germ Cell Tumor, Mixed Germ Cell Neoplasm",C4290
"Mixed Glioma, Adult Mixed Glioma, Childhood Mixed Glioma, GLIOMA, MIXED, MALIGNANT, Glioma, Mixed, Mixed Glial Neoplasm, Mixed Glial Tumor, Mixed Neuroglial Neoplasm, Mixed Neuroglial Tumor","C3903, C115250, C115195"
"Mixed Mesodermal (Mullerian) Tumor, Mesodermal Mixed Tumor, Mixed Mesodermal (Mullerian) Neoplasm, Mixed Mullerian Tumor, Mullerian mixed tumor, Mullerian tumor",C3730
"Mixed Neuroendocrine Non-Neuroendocrine Neoplasm, MiNEN",C164255
"Mixed Phenotype Acute Leukemia, MPAL, Mixed phenotype (biphenotypic) acute leukemia",C82179
"Mixed Phenotype Acute Leukemia with KMT2A Rearrangement, MPAL with t(v;11q23.3); KMT2A Rearranged, MPAL, with t(v;11q23.3); KMT2A Rearranged, Mixed Phenotype Acute Leukemia with t(v;11q23); MLL Rearranged, Mixed Phenotype Acute Leukemia with t(v;11q23.3); KMT2A Rearranged, Mixed Phenotype Acute Leukemia with t(v;11q23.3); MLL Rearranged, Mixed-Phenotype Acute Leukemia with KMT2A Rearrangement",C82203
